adminPcode,name,male_population_2023,female_population_2023,population_2023,crude_birth_rate_2023
LK1109145,Muttettugoda,1386,1385,2771,15
LK1109150,Thalangama North A,1386,1385,2771,15
LK1109155,Walpola,1386,1385,2771,15
LK1109160,Kalapaluwawa,1386,1385,2771,15
LK1109165,Kotuwegoda,1386,1385,2771,15
LK1109170,Subhoothipura,1386,1385,2771,15
LK1109175,Udumulla,1386,1385,2771,15
LK1109180,Battaramulla North,1386,1385,2771,15
LK1109185,Batapotha,1386,1385,2771,15
LK1109190,Pothuarawa,1386,1385,2771,15
LK1109195,Hokandara North,1386,1385,2771,15
LK1109200,Oruwala,1386,1385,2771,15
LK1109205,Athurugiriya,1386,1385,2771,15
LK1109210,Thaldiyawala,1386,1385,2771,15
LK1109215,Boralugoda,1386,1385,2771,15
LK1109220,Hokandara East,1386,1385,2771,15
LK1109225,Arangala,1386,1385,2771,15
LK1109230,Evarihena,1386,1385,2771,15
LK1109235,Kumaragewatta,1386,1385,2771,15
LK1109240,Jayawadanagama,1386,1385,2771,15
LK1109245,Aruppitiya,1386,1385,2771,15
LK1109250,Asiri Uyana,1386,1385,2771,15
LK1109255,Battaramulla South,1386,1385,2771,15
LK1109260,Rajamalwatta,1386,1385,2771,15
LK1109265,Pahalawela,1386,1385,2771,15
LK1109270,Wickramasinghapura,1386,1385,2771,15
LK1109275,Wellangiriya,1386,1385,2771,15
LK1109280,Hokandara South,1386,1385,2771,15
LK1109285,Athurugiriya South,1386,1385,2771,15
LK1112,Homagama,78974,78974,157948,15
LK1112005,Jalthara,975,975,1950,15
LK1112010,Henpita,975,974,1949,15
LK1112015,Atigala West,975,974,1949,15
LK1112020,Atigala East,975,974,1949,15
LK1112025,Batawala,975,974,1949,15
LK1112030,Walpita,975,974,1949,15
LK1112035,Nawalamulla,975,974,1949,15
LK1112040,Meegasmulla,975,974,1949,15
LK1112045,Habarakada North,975,974,1949,15
LK1112050,Mullegama North,975,974,1949,15
LK1112055,Mullegama South,975,974,1949,15
LK1112060,Habarakada South,975,974,1949,15
LK1112065,Panagoda Town,975,974,1949,15
LK1112070,Henawatta,975,974,1949,15
LK1112075,Meegoda North,975,974,1949,15
LK1112080,Panaluwa,975,974,1949,15
LK1112085,Watareka North,975,974,1949,15
LK1112090,Meegoda South,975,974,1949,15
LK1112095,Godagama North,975,974,1949,15
LK1112100,Panagoda West,975,974,1949,15
LK1112105,Panagoda East,975,974,1949,15
LK1112110,Habarakada Watta,975,974,1949,15
LK1112115,Homagama North,975,974,1949,15
LK1112120,Homagama West,975,974,1949,15
LK1112125,Homagama South,975,974,1949,15
LK1112130,Galavilawatta North,975,974,1949,15
LK1112135,Homagama Town,975,974,1949,15
LK1112140,Homagama East,975,974,1949,15
LK1112145,Pitipana Town,975,974,1949,15
LK1112150,Godagama South,975,974,1949,15
LK1112155,Kurunduwatta,975,974,1949,15
LK1112160,Gehenuwala,975,974,1949,15
LK1112165,Watareka South,975,974,1949,15
LK1112170,Ovitigama,975,974,1949,15
LK1112175,Kandanawatta,975,974,1949,15
LK1112180,Kiriberiyakele,975,974,1949,15
LK1112185,Mawathgama,975,974,1949,15
LK1112190,Katuwana,975,974,1949,15
LK1112195,Galavilawatta South,975,974,1949,15
LK1112200,Niyandagala,975,974,1949,15
LK1112205,Hiripitiya,975,974,1949,15
LK1112210,Mambulgoda,975,974,1949,15
LK1112215,Kithulhena,975,974,1949,15
LK1112220,Siddamulla North,975,974,1949,15
LK1112225,Siddamulla South,975,974,1949,15
LK1112230,Mattegoda West,975,974,1949,15
LK1112235,Mattegoda Central 'A',975,974,1949,15
LK1112240,Mattegoda East,975,974,1949,15
LK1112245,Brahmanagama,975,974,1949,15
LK1112250,Deepangoda,975,974,1949,15
LK1112255,Magammana West,975,974,1949,15
LK1112260,Magammana East,975,974,1949,15
LK1112265,Uduwana,975,974,1949,15
LK1112270,Prasannapura,975,974,1949,15
LK1112275,Pitipana North,975,974,1949,15
LK1112280,Suwapubudugama,975,974,1949,15
LK1112285,Pitipana South,975,974,1949,15
LK1112290,Dolahena,975,974,1949,15
LK1112295,Diyagama East,975,974,1949,15
LK1112300,Diyagama West,975,974,1949,15
LK1112305,Kirigampamunuwa,975,974,1949,15
LK1112310,Mattegoda Central 'B',975,974,1949,15
LK1112315,Siyambalagoda North,975,974,1949,15
LK1112320,Kudamaduwa,975,974,1949,15
LK1112325,Sangharama,975,974,1949,15
LK1112330,Siyambalagoda South,975,974,1949,15
LK1112335,Rilawala,975,974,1949,15
LK1112340,Kahathuduwa West,975,974,1949,15
LK1112345,Kiriwattuduwa South,975,974,1949,15
LK1112350,Kiriwattuduwa North,975,974,1949,15
LK1112355,Moonamale - Yakahaluwa,975,974,1949,15
LK1112360,Kithulavila,975,974,1949,15
LK1112365,Kahathuduwa North,975,974,1949,15
LK1112370,Kahathuduwa East,975,974,1949,15
LK1112375,Kahathuduwa South,975,974,1949,15
LK1112380,Undurugoda,975,974,1949,15
LK1112385,Wethara,975,974,1949,15
LK1112390,Ambalangoda,975,974,1949,15
LK1112395,Heraliyawala,975,974,1949,15
LK1112400,Palagama,975,974,1949,15
LK1112405,Weniwelkola,975,974,1949,15
LK1115,Seethawaka,78974,78974,157948,15
LK1115005,Bollathawa,1162,1161,2323,15
LK1115010,Kanampella West,1161,1161,2322,15
LK1115015,Kanampella East,1161,1161,2322,15
LK1115020,Manakada,1161,1161,2322,15
LK1115025,Eswatta North,1161,1161,2322,15
LK1115030,Kiriwandala North,1161,1161,2322,15
LK1115035,Kudagama,1161,1161,2322,15
LK1115040,Weralupitiya,1161,1161,2322,15
LK1115045,Seethagama,1161,1161,2322,15
LK1115050,Avissawella,1161,1161,2322,15
LK1115055,Ukwatta,1161,1161,2322,15
LK1115060,Agra Pedesa,1161,1161,2322,15
LK1115065,Eswatta South,1161,1161,2322,15
LK1115070,Ihala Kosgama North,1161,1161,2322,15
LK1115075,Thawalgoda,1161,1161,2322,15
LK1115080,Muruthagama,1161,1161,2322,15
LK1115085,Akaravita,1161,1161,2322,15
LK1115090,Kahatapitiya,1161,1161,2322,15
LK1115095,Kalu Aggala,1161,1161,2322,15
LK1115100,Salawa,1161,1161,2322,15
LK1115105,Pahala Kosgama West┬Á┬Á┬Á┬Á┬Á,1161,1161,2322,15
LK1115110,Pahala Kosgama East,1161,1161,2322,15
LK1115115,Ihala Kosgama South,1161,1161,2322,15
LK1115120,Miriswatta,1161,1161,2322,15
LK1115125,Aluth Ambalama,1161,1161,2322,15
LK1115130,Kiriwandala South,1161,1161,2322,15
LK1115135,Kotahera,1161,1161,2322,15
LK1115140,Seethawaka,1161,1161,2322,15
LK1115145,Aradhana Kanda,1161,1161,2322,15
LK1115150,Puwakpitiya South,1161,1161,2322,15
LK1115155,Puwakpitiya,1161,1161,2322,15
LK1115160,Egodagama,1161,1161,2322,15
LK1115165,Weragolla North,1161,1161,2322,15
LK1115170,Hingurala,1161,1161,2322,15
LK1115175,Kadugoda North,1161,1161,2322,15
LK1115180,Mawalgama,1161,1161,2322,15
LK1115185,Suduwella,1161,1161,2322,15
LK1115190,Gira Imbula,1161,1161,2322,15
LK1115195,Walawwatta,1161,1161,2322,15
LK1115200,Pahala Hanwella,1161,1161,2322,15
LK1115205,Hanwella Town,1161,1161,2322,15
LK1115210,Ihala Hanwella North,1161,1161,2322,15
LK1115215,Niripola,1161,1161,2322,15
LK1115220,Brandigampala,1161,1161,2322,15
LK1115225,Kadugoda South,1161,1161,2322,15
LK1115230,Weragolla South,1161,1161,2322,15
LK1115235,Digana,1161,1161,2322,15
LK1115240,Lahirugama,1161,1161,2322,15
LK1115245,Mambula,1161,1161,2322,15
LK1115250,Welikanna,1161,1161,2322,15
LK1115255,Kahahena,1161,1161,2322,15
LK1115260,Neluwattuduwa,1161,1161,2322,15
LK1115265,Diddeniya North,1161,1161,2322,15
LK1115270,Ihala Hanwella South,1161,1161,2322,15
LK1115275,Pahathgama,1161,1161,2322,15
LK1115280,Jayaweeragoda,1161,1161,2322,15
LK1115285,Koodaluvila,1161,1161,2322,15
LK1115290,Thunnana East,1161,1161,2322,15
LK1115295,Diddeniya South,1161,1161,2322,15
LK1115300,Elamalawala,1161,1161,2322,15
LK1115305,Ilukovita,1161,1161,2322,15
LK1115310,Koswatta,1161,1161,2322,15
LK1115315,Pagngnagula,1161,1161,2322,15
LK1115320,Pelpola,1161,1161,2322,15
LK1115325,Kudakanda,1161,1161,2322,15
LK1115330,Thunnana West,1161,1161,2322,15
LK1115335,Mawathagama West,1161,1161,2322,15
LK1115340,Mawathagama East,1161,1161,2322,15
LK1118,Padukka,78974,78974,157948,15
LK1118005,Pinnawala North,1717,1717,3434,15
LK1118010,Pinnawala South,1717,1716,3433,15
LK1118015,Waga North,1717,1716,3433,15
LK1118020,Waga East,1717,1716,3433,15
LK1118025,Thummodara,1717,1716,3433,15
LK1118030,Waga South,1717,1716,3433,15
LK1118035,Siyambalawa,1717,1716,3433,15
LK1118040,Pahala Bope,1717,1716,3433,15
LK1118045,Halpe,1717,1716,3433,15
LK1118050,Waga West,1717,1716,3433,15
LK1118055,Uggalla,1717,1716,3433,15
LK1118060,Wewelpanawa,1717,1716,3433,15
LK1118065,Pitumpe North,1717,1716,3433,15
LK1118070,Pitumpe South,1717,1716,3433,15
LK1118075,Galagedara East,1717,1716,3433,15
LK1118080,Galagedara North,1717,1716,3433,15
LK1118085,Galagedara South,1717,1716,3433,15
LK1118090,Padukka,1717,1716,3433,15
LK1118095,Arukwatta North,1717,1716,3433,15
LK1118100,Arukwatta South,1717,1716,3433,15
LK1118105,Ganegoda,1717,1716,3433,15
LK1118110,Angampitiya,1717,1716,3433,15
LK1118115,Weragala,1717,1716,3433,15
LK1118120,Angamuwa,1717,1716,3433,15
LK1118125,Udumulla,1717,1716,3433,15
LK1118130,Poregedara,1717,1716,3433,15
LK1118135,Pahala Padukka,1717,1716,3433,15
LK1118140,Liyanwala,1717,1716,3433,15
LK1118145,Kurugala,1717,1716,3433,15
LK1118150,Madulawa South,1717,1716,3433,15
LK1118155,Madulawa North,1717,1716,3433,15
LK1118160,Horakandawala,1717,1716,3433,15
LK1118165,Dampe,1717,1716,3433,15
LK1118170,Beruketiya,1717,1716,3433,15
LK1118175,Horagala West,1717,1716,3433,15
LK1118180,Horagala East,1717,1716,3433,15
LK1118185,Beliattavila,1717,1716,3433,15
LK1118190,Miriyagalla,1717,1716,3433,15
LK1118195,Malagala,1717,1716,3433,15
LK1118200,Kahawala,1717,1716,3433,15
LK1118205,Yatawathura,1717,1716,3433,15
LK1118210,Mahingala,1717,1716,3433,15
LK1118215,Ihala Bope,1717,1716,3433,15
LK1118220,Gurulana,1717,1716,3433,15
LK1118225,Udagama,1717,1716,3433,15
LK1118230,Dambora,1717,1716,3433,15
LK1121,Maharagama,78974,78974,157948,15
LK1121005,Mirihana South,1927,1926,3853,15
LK1121010,Mirihana North,1926,1926,3852,15
LK1121015,Madiwela,1926,1926,3852,15
LK1121020,Thalawathugoda West,1926,1926,3852,15
LK1121025,Thalawathugoda East,1926,1926,3852,15
LK1121030,Kalalgoda,1926,1926,3852,15
LK1121035,Kottawa East,1926,1926,3852,15
LK1121040,Rukmale West,1926,1926,3852,15
LK1121045,Rukmale East A,1926,1926,3852,15
LK1121050,Rukmale East B,1926,1926,3852,15
LK1121055,Liyanagoda,1926,1926,3852,15
LK1121060,Kottawa North,1926,1926,3852,15
LK1121065,Depanama,1926,1926,3852,15
LK1121070,Polwatta,1926,1926,3852,15
LK1121075,Pamunuwa,1926,1926,3852,15
LK1121080,Thalapathpitiya,1926,1926,3852,15
LK1121085,Pragathipura,1926,1926,3852,15
LK1121090,Udahamulla East,1926,1926,3852,15
LK1121095,Udahamulla West,1926,1926,3852,15
LK1121100,Pathiragoda,1926,1926,3852,15
LK1121105,Maharagama East,1926,1926,3852,15
LK1121110,Maharagama West,1926,1926,3852,15
LK1121115,Dambahena,1926,1926,3852,15
LK1121120,Pannipitiya North,1926,1926,3852,15
LK1121125,Kottawa West,1926,1926,3852,15
LK1121130,Kottawa South,1926,1926,3852,15
LK1121135,Malapalla West,1926,1926,3852,15
LK1121140,Malapalla East,1926,1926,3852,15
LK1121145,Makumbura North,1926,1926,3852,15
LK1121150,Makumbura South,1926,1926,3852,15
LK1121155,Kottawa Town,1926,1926,3852,15
LK1121160,Pannipitiya South,1926,1926,3852,15
LK1121165,Maharagama Town,1926,1926,3852,15
LK1121170,Godigamuwa South A,1926,1926,3852,15
LK1121175,Godigamuwa South B,1926,1926,3852,15
LK1121180,Godigamuwa North,1926,1926,3852,15
LK1121185,Wattegedara,1926,1926,3852,15
LK1121190,Navinna,1926,1926,3852,15
LK1121195,Wijerama,1926,1926,3852,15
LK1121200,Gangodavila South B,1926,1926,3852,15
LK1121205,Jambugasmulla,1926,1926,3852,15
LK1124,Sri Jayawardanapura Kotte,78974,78974,157948,15
LK1124005,Obeysekarapura,3949,3949,7898,15
LK1124010,Welikada West,3949,3948,7897,15
LK1124015,Welikada East,3949,3948,7897,15
LK1124020,Rajagiriya,3949,3948,7897,15
LK1124025,Welikada North,3949,3948,7897,15
LK1124030,Nawala West,3949,3948,7897,15
LK1124035,Koswatta,3949,3948,7897,15
LK1124040,Ethulkotte West,3949,3948,7897,15
LK1124045,Ethulkotte,3949,3948,7897,15
LK1124050,Pitakotte East,3949,3948,7897,15
LK1124055,Pitakotte,3949,3948,7897,15
LK1124060,Pitakotte West,3949,3948,7897,15
LK1124065,Nawala East,3949,3948,7897,15
LK1124070,Nugegoda West,3949,3948,7897,15
LK1124075,Pagoda,3949,3948,7897,15
LK1124080,Nugegoda,3949,3948,7897,15
LK1124085,Pagoda East,3949,3948,7897,15
LK1124090,Gangodavila North,3949,3948,7897,15
LK1124095,Gangodavila South,3949,3948,7897,15
LK1124100,Gangodavila East,3949,3948,7897,15
LK1127,Thimbirigasyaya,78974,78974,157948,15
LK1127005,Kollupitiya,3949,3949,7898,15
LK1127010,Bambalapitiya,3949,3948,7897,15
LK1127015,Kurunduwatta,3949,3948,7897,15
LK1127020,Kuppiyawatta West,3949,3948,7897,15
LK1127025,Kuppiyawatta East,3949,3948,7897,15
LK1127030,Dematagoda,3949,3948,7897,15
LK1127035,Wanathamulla,3949,3948,7897,15
LK1127040,Borella North,3949,3948,7897,15
LK1127045,Borella South,3949,3948,7897,15
LK1127050,Gothamipura,3949,3948,7897,15
LK1127055,Narahenpita,3949,3948,7897,15
LK1127060,Thimbirigasyaya,3949,3948,7897,15
LK1127065,Milagiriya,3949,3948,7897,15
LK1127070,Havelock Town,3949,3948,7897,15
LK1127075,Kirula,3949,3948,7897,15
LK1127080,Kirulapone,3949,3948,7897,15
LK1127085,Wellawatta North,3949,3948,7897,15
LK1127090,Wellawatta South,3949,3948,7897,15
LK1127095,Pamankada West,3949,3948,7897,15
LK1127100,Pamankada East,3949,3948,7897,15
LK1130,Dehiwala,78974,78974,157948,15
LK1130005,Sri Saranankara,5265,5265,10530,15
LK1130010,Vilawala,5265,5264,10529,15
LK1130015,Dutugemunu,5265,5264,10529,15
LK1130020,Kohuwala,5265,5264,10529,15
LK1130025,Kalubovila,5265,5264,10529,15
LK1130030,Hathbodhiya,5265,5264,10529,15
LK1130035,Galwala,5265,5264,10529,15
LK1130040,Dehiwala West,5265,5264,10529,15
LK1130045,Dehiwala East,5265,5264,10529,15
LK1130050,Udyanaya,5265,5264,10529,15
LK1130055,Nedimala,5265,5264,10529,15
LK1130060,Malwatta,5265,5264,10529,15
LK1130065,Jayathilaka,5265,5264,10529,15
LK1130070,Karagampitiya,5265,5264,10529,15
LK1130075,Kawdana East,5265,5264,10529,15
LK1131,Ratmalana,78974,78974,157948,15
LK1131005,Mount Lavinia,6075,6075,12150,15
LK1131010,Kawdana West,6075,6074,12149,15
LK1131015,Watarappala,6075,6074,12149,15
LK1131020,Wathumulla,6075,6074,12149,15
LK1131025,Katukurunduwatta,6075,6074,12149,15
LK1131030,Attidiya North,6075,6074,12149,15
LK1131035,Attidiya South,6075,6074,12149,15
LK1131040,Piriwena,6075,6074,12149,15
LK1131045,Wedikanda,6075,6074,12149,15
LK1131050,Vihara,6075,6074,12149,15
LK1131055,Rathmalana West,6075,6074,12149,15
LK1131060,Rathmalana East,6075,6074,12149,15
LK1131065,Kandawala,6075,6074,12149,15
LK1133,Moratuwa,78974,78974,157948,15
LK1133005,Angulana North,1881,1880,3761,15
LK1133010,Kaldemulla,1880,1880,3760,15
LK1133015,Soysapura North,1880,1880,3760,15
LK1133020,Soysapura South,1880,1880,3760,15
LK1133025,Dahampura,1880,1880,3760,15
LK1133030,Thelawala North,1880,1880,3760,15
LK1133035,Borupana,1880,1880,3760,15
LK1133040,Thelawala South,1880,1880,3760,15
LK1133045,Lakshapathiya North,1880,1880,3760,15
LK1133050,Lakshapathiya Central,1880,1880,3760,15
LK1133055,Angulana South,1880,1880,3760,15
LK1133060,Uyana South,1880,1880,3760,15
LK1133065,Uyana North,1880,1880,3760,15
LK1133070,Rawathawatta South,1880,1880,3760,15
LK1133075,Rawathawatta East,1880,1880,3760,15
LK1133080,Lakshapathiya South,1880,1880,3760,15
LK1133085,Kuduwamulla,1880,1880,3760,15
LK1133090,Katubedda,1880,1880,3760,15
LK1133095,Molpe,1880,1880,3760,15
LK1133100,Moratumulla North,1880,1880,3760,15
LK1133105,Kadalana,1880,1880,3760,15
LK1133110,Rawathawatta West,1880,1880,3760,15
LK1133115,Idama,1880,1880,3760,15
LK1133120,Uswatta,1880,1880,3760,15
LK1133125,Moratuwella South,1880,1880,3760,15
LK1133130,Indibedda West,1880,1880,3760,15
LK1133135,Moratumulla East,1880,1880,3760,15
LK1133140,Moratumulla West,1880,1880,3760,15
LK1133145,Villorawatta East,1880,1880,3760,15
LK1133150,Villorawatta West,1880,1880,3760,15
LK1133155,Indibedda East,1880,1880,3760,15
LK1133160,Moratuwella North,1880,1880,3760,15
LK1133165,Moratuwella West,1880,1880,3760,15
LK1133170,Koralawella North,1880,1880,3760,15
LK1133175,Koralawella East,1880,1880,3760,15
LK1133180,Koralawella West,1880,1880,3760,15
LK1133185,Koralawella South,1880,1880,3760,15
LK1133190,Katukurunda North,1880,1880,3760,15
LK1133195,Katukurunda South,1880,1880,3760,15
LK1133200,Egoda Uyana North,1880,1880,3760,15
LK1133205,Egoda Uyana Central,1880,1880,3760,15
LK1133210,Egoda Uyana South,1880,1880,3760,15
LK1136,Kesbewa,78974,78974,157948,15
LK1136005,Pepiliyana West,1082,1082,2164,15
LK1136010,Pepiliyana East,1082,1081,2163,15
LK1136015,Divulpitiya East,1082,1081,2163,15
LK1136020,Divulpitiya West,1082,1081,2163,15
LK1136025,Bellanvila,1082,1081,2163,15
LK1136030,Boralesgamuwa West A,1082,1081,2163,15
LK1136035,Boralesgamuwa West C,1082,1081,2163,15
LK1136040,Rattanapitiya,1082,1081,2163,15
LK1136045,Egodawatta,1082,1081,2163,15
LK1136050,Boralesgamuwa East A,1082,1081,2163,15
LK1136055,Boralesgamuwa West B,1082,1081,2163,15
LK1136060,Werahera North,1082,1081,2163,15
LK1136065,Boralesgamuwa East B,1082,1081,2163,15
LK1136070,Neelammahara,1082,1081,2163,15
LK1136075,Katuwawala North,1082,1081,2163,15
LK1136080,Vishwakalawa,1082,1081,2163,15
LK1136085,Werahera South,1082,1081,2163,15
LK1136090,Katuwawala South,1082,1081,2163,15
LK1136095,Niwanthidiya,1082,1081,2163,15
LK1136100,Erewwala West,1082,1081,2163,15
LK1136105,Erewwala North,1082,1081,2163,15
LK1136110,Erewwala East,1082,1081,2163,15
LK1136115,Rathmaldeniya,1082,1081,2163,15
LK1136120,Mahalwarawa,1082,1081,2163,15
LK1136125,Bangalawatta,1082,1081,2163,15
LK1136130,Pelenwatta East,1082,1081,2163,15
LK1136135,Pelenwatta North,1082,1081,2163,15
LK1136140,Pelenwatta West,1082,1081,2163,15
LK1136145,Paligedara,1082,1081,2163,15
LK1136150,Kaliyammahara,1082,1081,2163,15
LK1136155,Bokundara,1082,1081,2163,15
LK1136160,Thumbovila South,1082,1081,2163,15
LK1136165,Thumbovila North,1082,1081,2163,15
LK1136170,Wewala West,1082,1081,2163,15
LK1136175,Wewala East,1082,1081,2163,15
LK1136180,Thumbovila West,1082,1081,2163,15
LK1136185,Mampe North,1082,1081,2163,15
LK1136190,Makuludoowa,1082,1081,2163,15
LK1136195,Gorakapitiya,1082,1081,2163,15
LK1136200,Nampamunuwa,1082,1081,2163,15
LK1136205,Mavittara North,1082,1081,2163,15
LK1136210,Mampe East,1082,1081,2163,15
LK1136215,Bodhirajapura,1082,1081,2163,15
LK1136220,Mampe West,1082,1081,2163,15
LK1136225,Mampe South,1082,1081,2163,15
LK1136230,Kolamunna,1082,1081,2163,15
LK1136235,Suwarapola East,1082,1081,2163,15
LK1136240,Suwarapola West,1082,1081,2163,15
LK1136245,Hedigama,1082,1081,2163,15
LK1136250,Batakettara North,1082,1081,2163,15
LK1136255,Kesbewa North,1082,1081,2163,15
LK1136260,Kesbewa East,1082,1081,2163,15
LK1136265,Mavittara South,1082,1081,2163,15
LK1136270,Honnanthara North,1082,1081,2163,15
LK1136275,Honnanthara South,1082,1081,2163,15
LK1136280,Makandana East,1082,1081,2163,15
LK1136285,Kesbewa South,1082,1081,2163,15
LK1136290,Batakettara South,1082,1081,2163,15
LK1136295,Madapatha,1082,1081,2163,15
LK1136300,Delthara West,1082,1081,2163,15
LK1136305,Delthara East,1082,1081,2163,15
LK1136310,Dampe,1082,1081,2163,15
LK1136315,Makandana West,1082,1081,2163,15
LK1136320,Nivungama,1082,1081,2163,15
LK1136325,Halpita,1082,1081,2163,15
LK1136330,Horathuduwa,1082,1081,2163,15
LK1136335,Morenda,1082,1081,2163,15
LK1136340,Batuwandara North,1082,1081,2163,15
LK1136345,Batuwandara South,1082,1081,2163,15
LK1136350,Jamburaliya,1082,1081,2163,15
LK1136355,Polhena,1082,1081,2163,15
LK1136360,Regidel Watta,1082,1081,2163,15
LK1136365,Kahapola,1082,1081,2163,15
LK12,Gampaha,1026666,1026666,2053332,15
LK1203,Negombo,78975,78974,157949,15
